Bill To:,IDs,Amounts Due
10/11/2019 -,000000000100,13.79
,000000000101,13.79
,000000000102,13.79
,000000000103,13.79
,000000000104,13.79
,000000000105,13.79
,000000000106,13.79
,000000000107,13.79
,000000000108,13.79
,000000000109,13.79
,000000000110,13.79
,000000000111,13.79
,000000000112,13.79
,000000000113,13.79
,000000000114,13.79
,000000000115,13.79
10/11/2019 -,000000000116,13.79
,000000000117,13.79
,000000000118,13.79
,000000000119,13.79
,000000000120,13.79
,000000000121,13.79
,000000000122,13.79
,000000000123,13.79
,000000000124,13.79
,000000000125,13.79
,000000000126,13.79
,000000000127,13.79
,000000000128,13.79
,000000000129,13.79
,000000000130,24.4
,000000000131,18.31
,000000000133,13.79
,000000000134,13.79
,000000000135,13.79
,000000000136,13.79
,000000000137,21.31
,000000000138,13.79
,000000000139,13.79
,000000000142,33.94
,000000000143,28.54
,000000000144,13.79
,000000000145,13.79
,000000000146,13.79
10/11/2019 -,000000000147,13.79
,000000000148,13.79
,000000000149,13.79
,000000000150,13.79
,000000000151,13.79
,000000000152,13.79
,000000000153,13.79
,000000000154,13.79
,000000000155,13.79
,000000000156,13.79
,000000000157,13.79
,000000000158,13.79
,000000000159,13.79
,000000000160,13.79
,000000000161,13.79
,000000000162,13.79
,000000000163,13.79
10/11/2019 -,000000000164,13.79
,000000000165,13.79
,000000000166,13.79
,000000000167,13.79
,000000000168,13.79
,000000000169,13.79
,000000000170,13.79
,000000000171,13.79
,000000000172,13.79
,000000000173,13.79
,000000000174,13.79
,000000000175,13.79
,000000000176,13.79
,000000000177,13.79
,000000000178,30.17
,000000000179,47.66
,000000000180,13.79
,000000000181,13.79
,000000000182,13.79
,000000000183,13.79
,000000000184,28.69
,000000000185,29.0
,000000000186,13.79
,000000000187,13.79
,000000000188,13.79
,000000000189,13.79
,881621455173,15.44
,881621455174,15.44
,881621455175,15.44
,881621455248,46.44
,881621455380,15.44
,881621455443,15.44
,881621455447,15.44
,881621455448,26.44
,881621455455,15.44
,881621455458,33.64
